date,signal_type,card_last,merchant,amount,currency,note,thread_id
2025-08-08,monthly_debit,1005,,21905,JPY,振替日2025-08-12(下5桁51005表記),1988b0647609498e
2025-08-08,monthly_debit,3004,,17186,JPY,振替日2025-08-12(下5桁33004表記),1988b0647609498e
2025-08-08,safekey,1003,SP HCC TOKYO - HELINOX,286000,JPY,下5桁71003; apparel/アウトドア用品,1988782a3486832e
2025-08-18,billed_confirm,,,,,請求金額確定通知(旧形式・カード番号/金額未記載),198bf6f1748b081c
2025-08-19,billed_confirm,,,,,請求金額確定通知(旧形式・カード番号/金額未記載),198bf6f1748b081c
2025-08-19,billed_confirm,,,,,請求金額確定通知(旧形式・カード番号/金額未記載),198bf6f1748b081c
2025-08-30,safekey,1003,GREEN FUN,306600,JPY,下5桁71003; 同一決済で5通,198faf51121fbe3a
2025-08-30,safekey,1003,GREEN FUN,306600,JPY,下5桁71003,198faf43c1a98a5d
2025-08-30,safekey,1003,GREEN FUN,306600,JPY,下5桁71003,198faf32917ec91d
2025-08-30,safekey,1003,GREEN FUN,306600,JPY,下5桁71003,198faf1ec58827eb
2025-08-30,safekey,1003,GREEN FUN,306600,JPY,下5桁71003,198faf10aa0fde74
2025-09-06,monthly_debit,1005,,244230,JPY,振替日2025-09-10(下5桁51005表記),1992021a8ea1fe01
2025-09-06,monthly_debit,3004,,191738,JPY,振替日2025-09-10(下5桁33004表記),1992021a8ea1fe01
2025-09-12,safekey,1003,GraphicNetprint,55630,JPY,下5桁71003,1993e6e816856235
2025-09-13,safekey,1003,JRC SMART EX,14960,JPY,下5桁71003; travel(新幹線),199416be80cf6a4f
2025-09-14,safekey,1003,JRC SMART EX,14300,JPY,下5桁71003; travel(新幹線),19947c3bc40b9177
2025-09-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),1995f9726a76cbe5
2025-09-19,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),1995f9726a76cbe5
2025-09-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),1995f9726a76cbe5
2025-09-20,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),199697554120e29a
2025-09-28,weekly_total,1005,,114009,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁51005表記),199926b6d7abaa20
2025-09-28,weekly_total,3004,,154598,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁33004表記),199926b6d7abaa20
2025-09-29,weekly_total,1003,,7633807,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁71003表記),199926b6d7abaa20
2025-09-29,weekly_total,3009,,3048829,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁73009表記),199926b6d7abaa20
2025-10-05,weekly_total,1005,,168865,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁51005表記),199b677cf0c67324
2025-10-05,weekly_total,3004,,154598,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁33004表記),199b677cf0c67324
2025-10-06,monthly_debit,1005,,37387,JPY,振替日2025-10-10(下5桁51005表記),199bacaf848abda4
2025-10-06,monthly_debit,3004,,152958,JPY,振替日2025-10-10(下5桁33004表記),199bacaf848abda4
2025-10-06,weekly_total,1003,,8053990,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁71003表記),199b677cf0c67324
2025-10-06,weekly_total,3009,,3142497,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁73009表記),199b677cf0c67324
2025-10-13,safekey,1003,"Ticketmaster, LLC",600.16,USD,下5桁71003,199daf056a3d2cf9
2025-10-18,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),199f9bdceb01ef69
2025-10-19,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),199f9bdceb01ef69
2025-10-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),199f9bdceb01ef69
2025-10-20,safekey,1003,Klook Travel Technology L,1410.28,USD,下5桁71003; travel(旅行予約),19a0026d92196e0c
2025-10-20,safekey,1003,PAYPAL,1.00,USD,下5桁71003; カード確認,19a001d7dd21b8fe
2025-10-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19a041f96cc1c57f
2025-10-24,safekey,1005,KIDSLINE,0,JPY,下5桁51005; 0円認証,19a14fe40a1e4e02
2025-11-01,safekey,3009,KIDSLINE,0,JPY,下5桁73009; 0円認証,19a41a15b42e6828
2025-11-02,weekly_total,1005,,688450,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁51005表記),19a46a8884a7968c
2025-11-02,weekly_total,3004,,57258,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁33004表記),19a46a8884a7968c
2025-11-03,weekly_total,1003,,5138550,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き)(下5桁71003表記),19a46a8884a7968c
2025-11-03,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a4b9f3a7ad50e8
2025-11-03,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a4b9e246dec7ec
2025-11-03,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a4b9c66c0195fd
2025-11-03,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a4b8fd409d89e9
2025-11-03,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a48bbaa49d8527
2025-11-03,safekey,1003,AIR CANADA,30.00,CAD,下5桁71003; travel(航空),19a483e8d5acbca7
2025-11-06,monthly_debit,1005,,433945,JPY,振替日2025-11-10(下5桁51005表記),19a5a0ac4c162609
2025-11-06,monthly_debit,3004,,11328,JPY,振替日2025-11-10(下5桁33004表記),19a5a0ac4c162609
2025-11-10,weekly_total,3009,,1249274,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19a6ab516cd42611
2025-11-11,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a71d343cf6b196
2025-11-11,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a71d1748062da5
2025-11-11,safekey,3009,KIDSLINE,9933,JPY,下5桁73009,19a71d051f45dc90
2025-11-18,billed_confirm,3004,,,,請求金額確定通知(金額はメール未記載)(下5桁33004),19a995368c52fe69
2025-11-18,billed_confirm,3009,,,,請求金額確定通知(金額はメール未記載)(下5桁73009),19a995368c52fe69
2025-11-19,billed_confirm,1005,,,,請求金額確定通知(金額はメール未記載)(下5桁51005),19a995368c52fe69
2025-11-21,billed_confirm,1003,,,,請求金額確定通知(金額はメール未記載)(下5桁71003),19aa3c5d59cf941d
2025-12-01,weekly_total,1003,,5768183,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19ad6dafe8a7198f
2025-12-01,weekly_total,3009,,1219671,JPY,週次利用金額通知(加盟店記載なし・月1件に間引き),19ad6dafe8a7198f
