month,sales_target,sales_actual,fb_ads,warehouse_purchase,ocs_shipping,sample,gifting,outsourcing,shooting,packaging,shopify,line,cilel,cost_total,profit
2025-08,1900000,821081,552412,400487,0,58317,30338,33000,129000,0,5000,16500,13000,1136399,-315318
2025-09,2270000,941484,735970,382210,0,0,0,33000,203500,24752,5000,16500,13000,1400932,-459448
2025-10,2650000,752349,602247,242164,0,0,0,33000,0,87036,5000,16500,13000,998947,-246598
2025-11,3000000,994049,528007,403511,0,57427,0,33000,0,0,5000,16500,13000,1056445,-62396
2025-12,3300000,,,,,,,,,,5000,16500,13000,34500,
2026-01,3600000,,,,,,,,,,,,13000,,
2026-02,3900000,,,,,,,,,,,,13000,,
2026-03,4200000,,,,,,,,,,,,13000,,
2026-04,4500000,,,,,,,,,,,,13000,,
2026-05,,,,,,,,,,,,,,,
2026-06,,,,,,,,,,,,,,,
2026-07,,,,,,,,,,,,,,,
