date,type,source,description,amount,currency,thread_id
2026-06-05,sales,楽天銀行(service@ac.rakuten-bank.co.jp),【楽天銀行】入金がありました（個人口座への入金通知。振込元・金額の記載なし。Shopify関連かは本文からは不明）,,JPY,19e97fcd2bc8133a
2026-06-25,sales,楽天銀行(service@ac.rakuten-bank.co.jp),【楽天銀行】入金がありました（個人口座への入金通知。振込元・金額の記載なし。Shopify関連かは本文からは不明）,,JPY,19efa37b51398514
2026-07-02,sales,Shopify(do-not-reply@shopify.com),（参考）THE FAB CLUB「支払いと決済が有効になりました」＝Shopifyペイメント有効化通知。売上入金の証跡ではないが決済受付開始時期を示す,,,19f2188846974865
2026-07-07,purchase,オリジナルプリント.jp(info@originalprint.jp),注文2559392 Printstarヘビーウェイトタシャツ ブラック S3/M1/L10/XL3 計17点（Tシャツプリント発注・代行出荷。ブランド仕入の可能性が高い）,80599,JPY,19f3b5d5658c9709
2026-07-14,purchase,オリジナルプリント.jp(info@originalprint.jp),注文2559392 商品発送のご連絡（上記注文の出荷通知）,,JPY,19f6067b5ffcdb59
2025-08-08,purchase,ユニクロ(no-reply@ml.store.uniqlo.com),電子レシート 札幌澄川ミュンヘン大橋店（WミニT ¥1500・エアリズム等、同日2レシート）,,JPY,19888d1334c21425
2025-09-02,purchase,ユニクロ(no-reply@ml.store.uniqlo.com),電子レシート 札幌二十四軒店（エアリズムシームレスショーツ等）,,JPY,199091f77d20527a
2025-09-23,purchase,メルカリ,NEW ERA THESTAND別注 45DEG LA 9TWENTY キャップ,11000,JPY,1997433727a6f5b3
2025-10-03,purchase,メルカリ,NEW ERA インディアンス キャップ 海外限定 MLB,10000,JPY,199aa0c760394713
2025-11-05,purchase,ユニクロ(no-reply@ml.store.uniqlo.com),電子レシート 札幌二十四軒店（エアリズムシームレスボクサー ¥990等）,,JPY,19a5264183e1ed80
2025-11-09,purchase,メルカリ,キッズFARFIELD ORIGINAL フリースジャケット,4500,JPY,19a67491640a9ab6
2025-11-09,purchase,メルカリ,FARFIELD ORIGINAL バッグ,2200,JPY,19a67491640a9ab6
2025-11-13,purchase,メルカリ,ビームス別注GREGORY ブラック バックパック,21000,JPY,19a7bd790c11b636
2025-12-14,purchase,ZOZOTOWN(order@contact.zozo.jp),baron MLB マフラー ブルー（送料込¥2329）,2329,JPY,19b1bcebf14fc555
2026-01-19,purchase,メルカリ,ドジャース ポーチ 刺繍ロゴ 大谷翔平,1799,JPY,19bd47c014db7b9e
2026-01-19,purchase,メルカリ,ドジャース トレーナー 130,1480,JPY,19bd47c014db7b9e
2026-01-19,purchase,メルカリ,キッズ ドジャース Tシャツ 青 130cm,699,JPY,19bd47c014db7b9e
2026-01-20,purchase,メルカリ,bagjack ロンハーマン リュック,72000,JPY,19bd967afd3969c4
2026-01-26,purchase,メルカリ,ロサンゼルスドジャース ニットキャップ キッズ,600,JPY,19bfa56f81c1572a
